I0002|Apple Pie|Delicious Stewed Apple in a Yummy Pastry envelope|3.0|20
I0003|Lemon Cheesecake|A delicious, 1/8 size slice of cheesecake|4.0|20
I0006|Coffee(Flat White)|A regular flat white with dark roasted beans|5.0|30
I0004|Lemon Meringue Pie|This pie has a tender pastry crust, a tangy lemon filling and a topping of soft, fluffy meringue.|3.0|20
I0005|Original Tart|A delicious lemon butter tart with a pastry base|3.75|19
I0005-1|Cherry Tart|Scrumptious tart with fresh cherries and cream|4.0|20
I0005-2|Custard Tart|Custardy goodness|4.10|21
I0001|Meat Pie|Yummy Beef in Gravy surrounded by pastry|3.50|20
I0001-1|Steak and Cheese Pie|Packed with meaty steak bites and melted cheese|4.50|15
I0001-2|Chicken and Mushroom Pie|Fantastic fungi and juicy chicken|3.90|20
I0005-3|Mint Tart|Buttery smooth menthol tart filled with yumminess|3.80|5
I0006-1|Latte|Frothy latte with full cream milk|5.0|24
I0006-2|Espresso|Single shot of dark roasted coffee|4.50|22
I0006-3|Cappuccino|Aromatic coffee with full cream froth|5.0|19
I0006-4|Mocha|Chocolatey goodness with coffee|5.50|11
